arcp_line_code,ucn,call_ncode,call_no,franchisee_code,franchisee_name,serial_no,arcp_vitemserialno,arcp_nitemserialno,trhcalls_vserialno,bm_approved_date,bm_approved_amount,line_type,call_log_date,solve_date
1267904,26C161946,26C161946,26C161946,152,ABHIJEET REFRIGERATION,31907250201132,31907250201132,1.245732200,,14/04/2026 16:50,350,Service,16/03/2026 18:56,18/03/2026 16:51
1267878,26C071262,26C071262,26C071262,152,ABHIJEET REFRIGERATION,41740251201858,41740251201858,1.244491500,,14/04/2026 16:50,210,Travel,07/03/2026 16:15,11/03/2026 17:04
1267877,26C071262,26C071262,26C071262,152,ABHIJEET REFRIGERATION,41740251201858,41740251201858,1.244491500,,14/04/2026 16:50,350,Service,07/03/2026 16:15,11/03/2026 17:04
1267846,26C061121,26C061121,26C061121,152,ABHIJEET REFRIGERATION,42224250501046,42224250501046,1.244323600,,14/04/2026 16:50,350,Service,06/03/2026 15:26,11/03/2026 15:23
1267801,26B24113,26B24113,26B24113,152,ABHIJEET REFRIGERATION,31467160601790,31467160601790,1.240939100,,14/04/2026 16:50,630,Travel,24/02/2026 10:25,28/02/2026 15:42
1267800,26B24113,26B24113,26B24113,152,ABHIJEET REFRIGERATION,31467160601790,31467160601790,1.240939100,,14/04/2026 16:50,350,Service,24/02/2026 10:25,28/02/2026 15:42
1267777,26C091873,26C091873,26C091873,152,ABHIJEET REFRIGERATION,10199251009413,10199251009413,1.238462700,,14/04/2026 16:50,350,Service,09/03/2026 18:28,12/03/2026 18:50
1262178,26C11869,680,26C11869,152,ABHIJEET REFRIGERATION,32028251200771,32028251200771,1.245021400,,14/04/2026 16:50,1800,Service,11/03/2026 13:43,12/03/2026 19:14
1262177,26C11869,26C11869,26C11869,152,ABHIJEET REFRIGERATION,32028251200771,32028251200771,1.245021400,,14/04/2026 16:50,700,Travel,11/03/2026 13:43,12/03/2026 19:14
1262176,26C11869,26C11869,26C11869,152,ABHIJEET REFRIGERATION,32028251200771,32028251200771,1.245021400,,14/04/2026 16:50,350,Service,11/03/2026 13:43,12/03/2026 19:14
1261982,26C101320,682,26C101320,152,ABHIJEET REFRIGERATION,32028251200816,32028251200816,1.244911800,,14/04/2026 16:50,1800,Service,10/03/2026 16:35,11/03/2026 13:33
1261981,26C101320,26C101320,26C101320,152,ABHIJEET REFRIGERATION,32028251200816,32028251200816,1.244911800,,14/04/2026 16:50,210,Travel,10/03/2026 16:35,11/03/2026 13:33
1261980,26C101320,26C101320,26C101320,152,ABHIJEET REFRIGERATION,32028251200816,32028251200816,1.244911800,,14/04/2026 16:50,350,Service,10/03/2026 16:35,11/03/2026 13:33
1261956,26C071567,683,26C071567,152,ABHIJEET REFRIGERATION,42294260203871,42294260203871,1.244517400,,14/04/2026 16:50,1800,Service,07/03/2026 18:12,07/03/2026 18:25
1261955,26C071567,26C071567,26C071567,152,ABHIJEET REFRIGERATION,42294260203871,42294260203871,1.244517400,,14/04/2026 16:50,420,Travel,07/03/2026 18:12,07/03/2026 18:25
1261954,26C071567,26C071567,26C071567,152,ABHIJEET REFRIGERATION,42294260203871,42294260203871,1.244517400,,14/04/2026 16:50,350,Service,07/03/2026 18:12,07/03/2026 18:25
1261846,26B261501,686,26B261501,152,ABHIJEET REFRIGERATION,10174240100051,10174240100051,1.241336500,,14/04/2026 16:50,1800,Service,26/02/2026 17:51,24/03/2026 14:59
1261844,26B261501,26B261501,26B261501,152,ABHIJEET REFRIGERATION,10174240100051,10174240100051,1.241336500,,14/04/2026 16:50,350,Travel,26/02/2026 17:51,24/03/2026 14:59
1261843,26B261501,26B261501,26B261501,152,ABHIJEET REFRIGERATION,10174240100051,10174240100051,1.241336500,,14/04/2026 16:50,350,Service,26/02/2026 17:51,24/03/2026 14:59
1217224,26B271332,26B271332,26B271332,152,ABHIJEET REFRIGERATION,30099220300894,30099220300894,1.241488600,,02/04/2026 18:54,300,Service,27/02/2026 17:57,28/02/2026 18:10
