call_ncode,call_no,serial_no,office_code,office_name,call_date,solve_date,bm_approved_date,bm_approved_amount,arcp_line_count,ucn_list
545,26B271332,30099220300894,152,ABHIJEET REFRIGERATION,27/02/2026,28/02/2026,02/04/2026 18:54,300,1,26B271332
515,26B12534,41962241200769,152,ABHIJEET REFRIGERATION,12/02/2026,12/02/2026,02/04/2026 18:54,350,1,26B12534
632,26B24724,10165231200008,152,ABHIJEET REFRIGERATION,28/10/2024,29/10/2024,02/04/2026 18:54,1800,1,26B24724
541,26B24724,31943250704641,152,ABHIJEET REFRIGERATION,24/02/2026,26/02/2026,02/04/2026 18:54,350,1,26B24724
654,26B251390,30684220200138,152,ABHIJEET REFRIGERATION,01/12/2025,08/12/2025,02/04/2026 18:54,1800,1,26B251390
543,26B251390,31618251100878,152,ABHIJEET REFRIGERATION,25/02/2026,26/02/2026,02/04/2026 18:54,350,1,26B251390
503,26B021603,10175240305814,152,ABHIJEET REFRIGERATION,02/02/2026,06/02/2026,02/04/2026 18:54,350,2,26B021603
567,26A291659,42193250500161,152,ABHIJEET REFRIGERATION,24/04/2026,,02/04/2026 18:54,1800,1,26A291659
499,26A291659,41361221200016,152,ABHIJEET REFRIGERATION,29/01/2026,09/02/2026,02/04/2026 18:54,350,3,26A291659
498,26A291199,31922250200916,152,ABHIJEET REFRIGERATION,29/01/2026,06/02/2026,02/04/2026 18:54,350,1,26A291199
496,26A241356,42213251100840,152,ABHIJEET REFRIGERATION,24/01/2026,31/01/2026,02/04/2026 18:54,350,1,26A241356
517,26B121088,32534251005248,152,ABHIJEET REFRIGERATION,12/02/2026,28/02/2026,02/04/2026 18:54,200,1,26B121088
528,26B161222,41863241102430,152,ABHIJEET REFRIGERATION,16/02/2026,26/02/2026,02/04/2026 18:54,350,2,26B161222
516,26B121117,32534251005245,152,ABHIJEET REFRIGERATION,12/02/2026,26/02/2026,02/04/2026 18:54,200,1,26B121117
522,26B121018,32534251005257,152,ABHIJEET REFRIGERATION,12/02/2026,26/02/2026,02/04/2026 18:54,200,1,26B121018
526,26B121135,32534251005244,152,ABHIJEET REFRIGERATION,12/02/2026,26/02/2026,02/04/2026 18:54,200,1,26B121135
531,26B181607,30099220300894,152,ABHIJEET REFRIGERATION,18/02/2026,26/02/2026,02/04/2026 18:54,200,1,26B181607
524,26B12990,32534251005272,152,ABHIJEET REFRIGERATION,12/02/2026,25/02/2026,02/04/2026 18:54,200,1,26B12990
509,26A31523,32534251005438,152,ABHIJEET REFRIGERATION,31/01/2026,25/02/2026,02/04/2026 18:54,200,1,26A31523
529,26B18004,32028251200931,152,ABHIJEET REFRIGERATION,18/02/2026,18/02/2026,02/04/2026 18:54,630,2,26B18004
521,26B121129,32534251005256,152,ABHIJEET REFRIGERATION,12/02/2026,25/02/2026,02/04/2026 18:54,200,1,26B121129
523,26B121101,32534251005268,152,ABHIJEET REFRIGERATION,12/02/2026,25/02/2026,02/04/2026 18:54,560,2,26B121101
505,26A31384,32568251104190,152,ABHIJEET REFRIGERATION,31/01/2026,24/02/2026,02/04/2026 18:54,200,1,26A31384
536,26B20343,31888250503543,152,ABHIJEET REFRIGERATION,20/02/2026,25/02/2026,02/04/2026 18:54,200,1,26B20343
518,26B121081,32534251005249,152,ABHIJEET REFRIGERATION,12/02/2026,24/02/2026,02/04/2026 18:54,200,1,26B121081
519,26B121028,32534251005251,152,ABHIJEET REFRIGERATION,12/02/2026,24/02/2026,02/04/2026 18:54,200,1,26B121028
525,26B121010,32534251005258,152,ABHIJEET REFRIGERATION,12/02/2026,24/02/2026,02/04/2026 18:54,200,1,26B121010
626,26B161951,IN0410221157,152,ABHIJEET REFRIGERATION,26/12/2024,,02/04/2026 18:54,1800,1,26B161951
527,26B161951,31943250907169,152,ABHIJEET REFRIGERATION,16/02/2026,22/02/2026,02/04/2026 18:54,350,2,26B161951
513,26B071132,31943241106484,152,ABHIJEET REFRIGERATION,07/02/2026,11/02/2026,02/04/2026 18:54,350,1,26B071132
501,26B021768,41740250500955,152,ABHIJEET REFRIGERATION,02/02/2026,04/02/2026,02/04/2026 18:54,350,2,26B021768
534,26B20301,31888250503520,152,ABHIJEET REFRIGERATION,20/02/2026,21/02/2026,02/04/2026 18:54,210,2,26B20301
